text,reward
"ill.

""I'm not sure what the hell",0.0007803970365785062
"probably, the only thing that's not a problem is that the game is not really a game. It",1.9754034280776978
"be, and the",4.341372966766357
"silent, and the other two are not.",3.6002678871154785
for the,3.8268136978149414
a.m,0.319302499294281
"while the game is over, the player will be able to return to the game and return to the",1.5611193180084229
"until the end of the year.

The government has",0.00109576724935323
i.,2.2702102661132812
"feel, and I'm not",6.304294586181641
"like, but not quite.

""I'm not",2.9503519535064697
